animal		zwierze
home		dom
phone		telefon
clock		zegar
notebook	zeszyt
book		ksi¹¿ka
computer	komputer
light		œwiat³o
water		woda
salt		sól
earpods		s³uchawki
lion		lew
monkey		ma³pa
cat		kot
dog		pies
lamp		lampa
chair		krzes³o
table		stó³
floor		pod³oga
wall		œciana
window		okno
silling		sufit
door		drzwi
armchair	fotel
glasses		okulary
man		mê¿czyzna
woman		kobieta
child		dziecko
picture		obraz
people		ludzie
air		powietrze
grass		trawa
think		myœleæ
thing		rzecz
mouse		mysz
tiger		tygrys
elephant	s³oñ
fly		mucha
spider		paj¹k
snake		w¹¿
cow		krowa
sheep		owca
horse		koñ
butterfly	motyl
red		czerwony
apple		jab³ko
bannana		banan
limon		cytryna
orange		pomarañcza
pinapple	ananas
stawberry	truskawka
raspberry	malina
flower		kwiat
plant 		roœlina
tree		drzewo
forest		las
beach		pla¿a
mountain	góra
black		czarny
white		bia³y
run		bigaæ
drink		piæ
jump		skakaæ
eat		jeœæ
sleep		spaæ
cry		p³akaæ
write		pisaæ
read		czytaæ
die		umieraæ
live		¿yæ
drive		jechaæ
